,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Mean Response,,,,,,,,,,,,,,Number of Students Responding to the Question,,,,,,,,,,,,,,,,
,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,,,
TERM,COURSE,INSTRUCTOR  NAME,SECTION ENROLLMENT,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,
"PLEASE NOTE: COURSES WITH MULTIPLE INSTRUCTORS HAVE MULTIPLE ROWS, ONE ROW PER INSTRUCTOR.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 04,ACCO 305 001, Stephen Zeff,54,1.26,2.48,1.21,2.17,2.29,2.36,2.71,2.40,1.19,1.48,2.00,1.90,2.26,3.69,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,41,
Fall 04,ACCO 305 002, Stephen Zeff,28,1.11,1.89,1.17,1.61,2.67,1.89,2.00,1.78,1.22,1.56,1.72,1.56,1.78,3.89,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,
Fall 04,ACCO 406 001, James Mandel,14,2.00,2.25,1.42,1.00,1.42,1.75,1.75,2.00,1.50,2.17,2.00,2.00,2.00,2.58,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
Fall 04,ANTH 200 001, Katherine Crosswhite,20,1.97,3.28,2.08,2.58,2.68,3.54,3.88,3.29,2.72,2.49,2.86,3.45,3.38,2.45,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,64,
Fall 04,ANTH 201 001, Aimee Placas,129,2.57,3.01,2.47,2.21,2.29,3.03,3.13,2.75,2.36,2.72,3.13,3.68,3.01,2.05,74,75,75,75,75,75,75,75,72,75,75,75,75,75,75,74,
Fall 04,ANTH 201 001, Brian Riedel ,129,2.52,2.99,2.29,2.43,2.48,3.12,3.07,2.65,2.18,2.79,3.20,3.71,3.09,2.01,75,75,75,75,75,75,75,75,72,75,75,75,75,74,74,74,
Fall 04,ANTH 203 001, Susan McIntosh,29,2.21,2.63,2.92,2.04,1.88,2.42,2.13,2.21,1.43,2.38,2.79,2.58,2.13,2.88,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,
Fall 04,ANTH 235 001, Christopher Kelty,23,1.44,1.81,1.48,1.63,1.52,2.00,2.19,1.81,1.81,2.78,3.11,2.78,2.33,2.81,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,
Fall 04,ANTH 280 001, Susan Ossman,2,2.50,2.00,1.50,1.50,1.50,1.50,1.50,1.50,1.00,2.50,1.50,1.50,1.50,4.00,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
Fall 04,ANTH 301 001, Katherine Crosswhite,0,2.12,2.35,1.82,1.65,1.65,2.12,2.29,2.06,1.94,2.12,2.00,2.29,2.12,2.24,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,
Fall 04,ANTH 305 001, Claire Bowern,0,1.82,2.36,1.73,1.73,1.82,2.55,2.09,2.64,1.55,2.27,2.45,2.09,2.27,3.36,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
Fall 04,ANTH 313 001, Stephen Tyler,19,2.25,3.13,2.25,2.44,2.06,3.25,3.38,2.94,1.25,2.63,2.94,3.13,2.94,2.63,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,14,
Fall 04,ANTH 314 001, Susan McIntosh,22,2.47,2.84,2.48,1.91,1.94,2.38,2.34,2.63,2.09,2.44,2.53,2.22,2.19,3.44,32,32,31,32,32,32,32,32,32,32,32,32,32,32,32,31,
Fall 04,ANTH 314 001, Alma Novotny,22,1.58,1.76,1.64,1.21,1.64,1.79,1.69,1.55,1.36,2.24,2.48,2.27,2.09,3.39,33,33,33,33,33,33,32,33,33,33,33,33,33,33,33,32,
