,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mean Response,,,,,,,,,,,,,,Number of Students Responding to the Question,,,,,,,,,,,,,,,
,,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,,
TERM,COURSE,INSTRUCTOR LAST NAME,INSTRUCTOR FIRST NAME,SECTION ENROLLMENT,XLIST GROUP,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16
"PLEASE NOTE: COURSES WITH MULTIPLE INSTRUCTORS HAVE MULTIPLE ROWS, ONE ROW PER INSTRUCTOR.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 05,ACCO 305.001, Zeff, Stephen A,15, ,1.08,1.42,1.08,1.25,1.67,2.00,1.67,1.50,1.08,1.33,2.00,1.83,1.58,3.67,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Fall 05,ACCO 305.002, Zeff, Stephen A,44, ,1.25,2.13,1.13,1.69,2.28,2.34,2.19,1.84,1.16,1.53,2.03,1.94,1.84,3.78,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
Fall 05,ACCO 406.001, Uecker, Wilfred C,21, ,1.71,2.29,1.43,1.64,1.64,2.43,2.43,2.21,1.71,2.07,2.79,2.50,2.57,3.07,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Fall 05,ANTH 200.001, Crosswhite, Katherine M,61, A4,2.59,2.98,2.91,2.30,2.57,3.32,3.93,3.16,2.64,2.77,3.18,3.47,3.25,2.84,44,44,43,44,44,44,43,43,44,44,44,43,44,44,44,44
Fall 05,ANTH 201.001, Ninetto, Amy,152, ,2.50,3.55,2.26,2.63,2.98,3.21,3.49,3.36,2.77,2.88,3.11,3.46,3.32,2.93,98,98,98,98,98,98,98,98,98,98,98,98,97,97,96,97
Fall 05,ANTH 203.001, McIntosh, Susan K,37, ,2.14,2.38,3.31,1.86,1.74,2.34,2.43,2.29,1.66,2.20,2.53,2.91,2.54,2.83,35,34,35,35,35,35,35,35,35,35,34,35,35,35,35,35
Fall 05,ANTH 205.001, McIntosh, Roderick J,59, ,1.30,2.22,1.38,1.81,1.59,2.08,1.92,1.86,1.30,1.81,2.11,2.57,1.73,2.27,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
Fall 05,ANTH 235.001, Kelty, Christopher Michael,49, E2,2.13,2.90,2.35,2.23,2.19,2.45,2.65,2.61,2.60,2.81,3.26,3.23,2.97,2.94,31,31,31,31,31,31,31,31,30,31,31,31,31,31,31,30
Fall 05,ANTH 301.001, Niedzielski, Nancy A,22, A9,2.35,2.20,1.85,1.60,1.45,1.65,1.65,1.80,1.60,2.60,2.15,1.90,1.85,3.10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,18
Fall 05,ANTH 306.001, Ninetto, Amy,12, T1,1.75,1.88,1.13,1.00,2.13,1.63,1.88,1.50,1.63,1.88,1.63,1.63,1.88,3.25,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Fall 05,ANTH 312.001, McIntosh, Roderick J,11, ,2.00,2.78,1.38,1.67,1.22,2.11,2.22,1.67,1.22,2.56,2.56,2.78,2.33,2.56,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9
Fall 05,ANTH 313.001, Tyler, Stephen A,29, A3,1.94,3.38,1.63,2.19,2.38,3.06,3.44,3.13,2.13,2.94,3.20,3.50,3.31,2.38,16,16,16,16,16,16,16,16,16,16,15,16,16,16,15,16
