,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mean Response,,,,,,,,,,,,,,Number of Students Responding to the Question,,,,,,,,,,,,,,,,
,,,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,,,
TERM,COURSE,CRN,INSTRUCTOR NAME,SECTION ENROLLMENT,XLIST GROUP,XLIST ENROLLMENT,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17
PLEASE NOTE: The order of the questions on this Summary Sheet differs slightly from the order of questions on ESTHER (ESTHER additionally displays Course Evaluations as separate from Instructor Evaluations).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE NOTE: COURSES WITH MULTIPLE INSTRUCTORS HAVE MULTIPLE ROWS, ONE ROW PER INSTRUCTOR.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE NOTE RE CROSS-LISTED COURSES: If a course is cross-listed, evaluation results have been combined and the combined total will appear under each course listing, and under each instructor's name.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall 07,ACCO 305 001,11695,"Zeff, Stephen A.",40,,,1.06,1.47,1.06,1.44,1.75,1.55,1.53,1.40,1.10,1.34,1.41,1.32,1.47,3.77,32,32,31,32,32,31,30,30,31,32,32,31,32,31,32,27,13
Fall 07,ACCO 305 002,11696,"Zeff, Stephen A.",28,,,1.22,2.17,1.00,2.39,2.65,2.22,2.22,2.00,1.26,1.65,1.96,1.43,2.00,3.96,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,21,7
Fall 07,ANTH 200 001,10838,"Stanford, James N.",10,A1,71,1.40,1.49,1.22,1.37,1.49,1.63,1.63,1.46,1.47,1.54,1.59,1.97,1.53,2.55,68,68,68,68,68,68,68,68,68,68,68,68,68,67,68,63,15
Fall 07,ANTH 201 001,12711,"Vann, Elizabeth F.",69,,,1.86,2.03,1.56,1.94,2.06,2.19,2.16,2.20,1.92,1.86,2.31,2.34,2.27,2.80,64,64,64,63,64,64,63,64,64,65,65,65,64,65,65,56,20
Fall 07,ANTH 203 001,10840,"McIntosh, Susan K.",16,,,1.93,1.93,2.31,1.71,1.79,2.00,1.79,1.71,1.29,1.93,2.00,1.86,2.00,3.43,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,3
Fall 07,ANTH 205 001,10842,"Fleisher, Jeffrey B.",41,,,1.65,1.76,1.61,1.43,1.65,1.92,1.78,1.68,1.49,1.90,2.20,2.05,1.95,2.90,37,37,36,37,37,37,37,38,37,40,40,37,39,39,38,30,18
Fall 07,ANTH 235 001,12714,"Kulinowski, Kristen M.",23,I7,40,1.92,2.16,2.13,2.05,2.18,2.63,2.45,2.21,1.61,2.39,3.26,2.87,2.68,2.34,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,29,15
