,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mean Response,,,,,,,,,,,,,,Number of Students Responding to the Question,,,,,,,,,,,,,,,
,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,,
TERM,COURSE,INSTRUCTOR NAME,SECTION ENROLLMENT,XLIST GROUP,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16
"PLEASE NOTE: COURSES WITH MULTIPLE INSTRUCTORS HAVE MULTIPLE ROWS, ONE ROW PER INSTRUCTOR.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 05,ACCO 305 001, Geraldine Castor Brooks,60, ,1.52,1.97,1.91,1.64,1.73,2.39,2.33,1.85,1.47,1.72,1.94,2.21,1.94,3.03,33,33,33,33,33,33,33,33,32,32,33,33,32,33,33,32
Spring 05,ACCO 305 002, Geraldine Castor Brooks,45, ,1.80,2.11,2.17,1.89,2.09,2.54,2.37,2.03,1.71,1.89,2.17,2.26,2.03,3.11,35,35,35,35,35,35,35,35,35,35,35,34,34,35,34,34
Spring 05,ANTH 200 001, Claire Bowern,56, G7,2.31,3.31,2.64,2.96,2.77,3.35,3.96,3.19,2.48,2.65,3.35,3.62,3.35,2.92,26,26,25,26,26,26,26,26,25,26,26,26,26,25,25,24
Spring 05,ANTH 200 002, Jan Christian Koops,27, J5,2.00,2.76,1.84,2.36,2.16,3.40,3.12,2.84,2.24,2.20,2.44,3.16,2.92,2.48,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Spring 05,ANTH 205 001, Roderick McIntosh,68, ,1.50,1.88,1.48,1.82,1.57,2.21,1.88,1.75,1.36,1.77,2.09,2.57,1.93,2.34,56,56,56,56,56,56,56,56,55,56,56,56,55,56,54,54
Spring 05,ANTH 290 001, Brian Riedel,7, ,1.17,1.33,1.33,1.33,1.33,1.33,1.67,1.50,1.00,1.17,1.50,1.50,1.33,3.17,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Spring 05,ANTH 300 001, Robert Englebretson,17, A3,1.13,1.44,1.31,1.69,1.88,1.63,1.50,1.44,1.19,1.25,1.44,1.50,1.31,3.19,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Spring 05,ANTH 323 001, Katherine Crosswhite,4, A4,2.00,2.00,2.67,1.33,1.33,1.67,2.00,1.67,1.33,2.00,1.33,1.67,1.67,3.00,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Spring 05,ANTH 328 001, Julie Taylor,17, ,2.88,3.63,2.50,2.00,2.88,2.38,2.50,3.13,1.88,4.38,4.13,2.88,3.00,3.88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Spring 05,ANTH 338 001, Susan Ossman,5, ,1.75,2.75,1.25,1.25,1.25,1.50,2.00,2.00,1.00,2.75,3.00,1.75,2.25,4.25,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Spring 05,ANTH 343 001, Elias Bongmba,7, A5,1.86,2.29,1.57,1.14,1.29,1.71,1.71,1.86,1.43,3.00,2.29,2.14,2.00,3.14,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7
Spring 05,ANTH 344 001, Susan Ossman,22, ,2.27,3.38,2.25,1.94,2.38,2.19,2.94,2.50,2.13,2.63,2.69,2.81,2.81,2.88,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15
Spring 05,ANTH 353 001, Stephen Tyler,81, ,2.17,2.90,1.79,2.07,2.10,2.48,2.76,2.62,1.83,2.76,2.66,3.03,2.93,2.31,29,29,28,29,29,29,29,29,29,29,29,29,29,29,29,28
Spring 05,ANTH 362 001, Roderick McIntosh,19, ,1.29,1.43,1.43,1.08,1.07,1.36,1.29,1.21,1.07,1.57,1.29,1.36,1.14,2.14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,13
Spring 05,ANTH 380 001, Thomas Chivens,28, A2,1.86,2.43,1.29,1.38,1.33,1.62,1.86,2.00,1.81,2.24,2.00,2.00,2.00,3.00,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,20
Spring 05,ANTH 381 001, Richard Nisbett,51, ,1.53,2.33,1.47,1.53,1.64,2.14,2.33,2.11,1.61,2.25,2.17,2.53,2.47,3.25,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
Spring 05,ANTH 381 001, Valerie Olson,51, ,1.97,2.33,1.28,1.49,1.72,2.10,2.31,2.15,1.74,2.21,2.21,2.51,2.33,3.21,39,39,39,39,39,39,39,39,38,39,39,39,39,39,38,39
Spring 05,ANTH 406 001, Stephen Tyler,12, A6,1.75,1.88,2.00,1.63,1.63,1.88,2.13,1.75,1.50,2.50,2.25,2.00,2.00,2.13,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8
Spring 05,ANTH 408 001, Robert Englebretson,3, A7,1.67,1.67,1.00,1.33,1.33,1.00,1.33,1.00,1.00,1.67,1.33,1.33,1.33,3.33,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Spring 05,ANTH 415 001, James Faubion,6, ,1.50,2.33,1.33,1.50,1.83,2.00,2.00,2.00,1.17,1.50,1.50,1.17,1.67,4.50,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Spring 05,ANTH 430 001, Julie Taylor,1, ,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.00,4.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Spring 05,ANTH 446 001, Richard Nisbett,16, ,1.57,1.93,1.14,1.08,1.07,1.50,1.50,1.50,1.46,1.86,1.71,1.86,1.43,2.50,14,14,14,13,14,14,14,14,13,14,14,14,14,14,14,14
Spring 05,ANTH 538 001, Susan Ossman,3, ,1.67,2.33,1.33,1.67,1.67,1.67,2.00,1.67,1.67,2.00,1.67,2.00,1.67,3.33,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Spring 05,ANTH 562 001, Roderick McIntosh,5, ,2.20,2.60,1.80,1.20,1.20,1.60,1.80,1.40,1.20,2.20,1.60,2.00,1.60,3.20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Spring 05,ANTH 606 001, Stephen Tyler,1, ,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Spring 05,ANTH 615 001, James Faubion,13, ,1.15,1.85,1.38,1.85,1.92,2.31,1.77,1.77,1.17,1.77,2.17,1.62,1.69,3.85,13,13,13,13,13,13,13,13,12,13,12,13,13,13,12,13
Spring 05,ARAB 102 001, Aman Attieh,16, ,1.60,2.27,2.13,1.67,2.00,2.07,1.93,1.80,1.47,2.27,1.80,1.40,1.87,3.47,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
Spring 05,ARAB 302 001, Aman Attieh,4, ,1.00,1.75,1.50,1.50,1.50,1.50,1.25,1.50,1.00,1.50,1.50,1.25,1.25,3.50,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Spring 05,ARCH 102 001, Danny Samuels,24, ,1.48,1.90,1.00,1.38,1.48,1.29,1.33,1.43,1.14,1.48,1.43,1.10,1.33,4.67,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,19
Spring 05,ARCH 102 001, Nonya Grenader,24, ,1.38,1.81,1.05,1.14,1.38,1.33,1.29,1.29,1.19,1.43,1.43,1.14,1.33,4.67,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,19
Spring 05,ARCH 214 001, Mark Oberholzer,21, ,1.75,2.17,2.08,1.92,2.08,2.33,2.50,1.83,1.58,2.33,2.08,2.33,2.00,2.83,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Spring 05,ARCH 302 001, William Cannady,6, ,1.00,3.00,1.00,2.00,2.00,3.00,3.00,2.00,1.00,2.00,2.00,2.00,3.00,5.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Spring 05,ARCH 302 004, Spencer Parsons,5, ,2.00,2.75,3.25,2.25,3.25,2.25,2.50,2.25,1.75,3.00,2.50,2.75,2.75,4.75,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
Spring 05,ARCH 315 001, Mark Oberholzer,25, ,2.62,2.62,2.77,2.23,2.31,3.00,2.69,2.46,2.46,3.00,3.23,3.15,3.08,2.62,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Spring 05,ARCH 317 001, Laurence Albert,1, ,2.00,3.00,1.00,2.00,3.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,3.00,3.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Spring 05,ARCH 317 001, Kerry Whitehead,1, ,2.00,1.00,1.00,2.00,3.00,3.00,3.00,3.00,3.00,4.00,4.00,4.00,3.00,3.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
