,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mean Response,,,,,,,,,,,,,,Number of Students Responding to the Question,,,,,,,,,,,,,,,,
,,,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,,,
TERM,COURSE,CRN,INSTRUCTOR NAME,SECTION ENROLLMENT,XLIST GROUP,XLIST ENROLLMENT,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N13,N12,N14,N15,N16,N17
PLEASE NOTE: The order of the questions on this Summary Sheet differs slightly from the order of questions on ESTHER (ESTHER additionally displays Course Evaluations as separate from Instructor Evaluations).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE NOTE: COURSES WITH MULTIPLE INSTRUCTORS HAVE MULTIPLE ROWS, ONE ROW PER INSTRUCTOR.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE NOTE RE CROSS-LISTED COURSES: If a course is cross-listed, evaluation results have been combined and the combined total will appear under each course listing, and under each instructor's name.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 08,ACCO 305 001,21782,"Widener, Sally K.",30,J9,43,1.17,1.44,1.15,1.34,1.49,1.66,1.68,1.41,1.29,1.27,1.46,1.51,1.58,3.44,41,41,41,41,41,41,41,41,41,41,41,41,40,41,41,30,19
Spring 08,ACCO 305 002,21783,"Castor Brooks, Geraldine M.",42,K0,56,1.47,1.84,1.48,1.73,1.92,2.06,2.10,1.76,1.58,1.78,1.94,1.92,1.98,3.25,51,51,50,51,51,51,50,51,50,51,51,50,50,51,51,41,17
Spring 08,ANTH 200 001,21107,"Achard, Michel J.",38,G1,94,1.49,1.76,1.31,1.78,1.80,1.99,2.09,1.73,1.65,1.86,2.00,2.29,2.13,2.73,86,86,85,85,86,86,85,86,85,87,86,87,86,86,86,77,29
Spring 08,ANTH 323 001,21110,"Crosswhite, Katherine M.",0,G3,17,1.67,2.00,1.47,1.80,1.87,2.07,2.07,2.13,1.93,2.27,2.33,2.00,2.36,2.00,15,15,15,15,15,15,15,15,14,15,15,15,14,15,15,14,5
Spring 08,ANTH 352 001,22553,"Faubion, James D.",6,,,2.20,2.80,2.40,2.25,2.20,2.40,2.00,2.60,1.40,2.60,2.00,1.80,2.20,2.20,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2
Spring 08,ANTH 352 001,22553,"Georges, Eugenia",6,,,2.20,2.00,2.40,2.00,1.60,2.00,1.50,1.75,2.00,2.60,2.00,1.80,2.20,2.20,5,5,5,4,5,4,4,4,4,5,5,5,5,5,5,5,2
Spring 08,ANTH 352 001,22553,"Ninetto, Amy",6,,,1.40,1.40,1.20,1.20,1.60,1.60,1.40,1.40,1.20,2.60,2.00,1.80,2.20,2.20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2
