,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Mean Response,,,,,,,,,,,,,,Number of Students Responding to the Question,,,,,,,,,,,,,,,,
,,,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,Instructor Evaluation,,,,,,,,,Course Evaluation,,,,,,,
TERM,COURSE,CRN,INSTRUCTOR NAME,SECTION ENROLLMENT,XLIST GROUP,XLIST ENROLLMENT,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,N15,N16,N17
PLEASE NOTE: The order of the questions on this Summary Sheet differs slightly from the order of questions on ESTHER (ESTHER additionally displays Course Evaluations as separate from Instructor Evaluations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE NOTE: COURSES WITH MULTIPLE INSTRUCTORS HAVE MULTIPLE ROWS, ONE ROW PER INSTRUCTOR.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE NOTE RE CROSS-LISTED COURSES: If a course is cross-listed, evaluation results have been combined and the combined total will appear under each course listing, and under each instructor's name.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 11,ANTH 200 001,21107,"Crosswhite, Katherine M.",22,G1,59,2.18,2.68,1.78,2.30,2.30,2.78,2.88,2.58,2.28,2.31,2.40,2.52,2.67,2.67,50,50,49,50,50,50,50,50,50,52,52,52,51,52,52,39,24
Spring 11,ANTH 200 002,23212,"Pantos, Andrew J.",24,A6,73,1.42,1.51,1.27,1.49,1.58,1.70,1.73,1.51,1.45,1.73,1.78,2.04,1.97,2.66,67,67,66,67,67,66,67,67,67,67,67,67,67,67,67,54,36
Spring 11,ANTH 201 001,24068,"Howe, Alyssa C.",56,,,1.55,1.83,1.39,1.65,1.55,1.96,1.91,1.83,1.72,1.70,2.21,2.34,1.96,2.47,47,47,46,46,47,47,47,47,47,47,47,47,47,47,47,45,21
Spring 11,ANTH 203 001,25967,"Bowman, Shannon Y.",9,,,1.67,2.00,1.33,1.50,2.17,1.83,1.83,1.50,1.33,1.83,1.83,2.00,1.83,3.33,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5
Spring 11,ANTH 205 001,25386,"Fleisher, Jeffrey B.",52,,,1.64,1.70,1.60,1.57,1.66,1.94,1.96,1.74,1.49,1.81,2.00,2.23,1.94,2.85,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,35,27
Spring 11,ANTH 212 001,23455,"Shehabuddin, Rahnuma",10,L2,21,1.90,2.05,1.65,2.00,2.10,2.33,2.38,2.14,1.81,2.33,2.38,2.52,2.40,2.71,21,21,20,21,21,21,21,21,21,21,21,21,20,21,20,18,12
Spring 11,ANTH 212 001,23455,"Lewis, Steven W.",10,L2,21,1.86,2.43,1.81,2.00,1.95,2.19,2.30,2.14,1.76,2.33,2.38,2.52,2.40,2.71,21,21,21,21,21,21,20,21,21,21,21,21,20,21,20,18,12
